"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","page_index1","page_index2","page_index3","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct_response","correct_inducer_response_side","congruent","accuracy","open_feedback","interactive"
"","html-keyboard-response","220","818290","0.0-288.0-1.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","Wrong","Feedback","","","","","null","","","","","","","","","","","",""
"","call-function","221","818290","0.0-288.0-2.0","2j3ecyxr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","222","819049","0.0-289.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","223","819874","0.0-290.0","2j3ecyxr","1707","1067","","","","","","","","","","","824","vh1","Diagnostic trial","","","","","f","4","10","false","true","LEFT","f","1","RIGHT","false","","",""
"","html-keyboard-response","224","820640","0.0-293.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","225","821640","0.0-294.0","2j3ecyxr","1707","1067","","","","","","","","","","","999","vh1","Diagnostic trial","","","","","f","4","11","false","true","LEFT","f","1","RIGHT","false","","",""
"","html-keyboard-response","226","822395","0.0-297.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","227","823604","0.0-298.0","2j3ecyxr","1707","1067","","","","","","","","","","","1209","vh1","Inducer trial","","","","","j","4","","true","","","j","1","RIGHT","","","",""
"","html-keyboard-response","228","825109","0.0-301.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","+","Fixation - long","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","229","829793","0.0-302.0","2j3ecyxr","1707","1067","","","","","","","","","","","4683","If olt press LEFT | If r22 press RIGHT","Inducer instructions","","","",""," ","5","","","","","","","","","","",""
"","html-keyboard-response","230","830552","0.0-303.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","231","831592","0.0-304.0","2j3ecyxr","1707","1067","","","","","","","","","","","1040","olt","Diagnostic trial","","","","","j","5","0","false","false","RIGHT","j","1","LEFT","false","","",""
"","html-keyboard-response","232","832345","0.0-307.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","233","833940","0.0-308.0","2j3ecyxr","1707","1067","","","","","","","","","","","1594","r22","Diagnostic trial","","","","","j","5","1","false","false","RIGHT","j","1","RIGHT","true","","",""
"","html-keyboard-response","234","834700","0.0-311.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","235","835463","0.0-312.0","2j3ecyxr","1707","1067","","","","","","","","","","","763","r22","Diagnostic trial","","","","","f","5","2","false","true","LEFT","f","1","RIGHT","false","","",""
"","html-keyboard-response","236","836219","0.0-315.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","237","837071","0.0-316.0","2j3ecyxr","1707","1067","","","","","","","","","","","852","olt","Diagnostic trial","","","","","j","5","3","false","false","RIGHT","j","1","LEFT","false","","",""
"","html-keyboard-response","238","837825","0.0-319.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","239","838976","0.0-320.0","2j3ecyxr","1707","1067","","","","","","","","","","","1151","olt","Diagnostic trial","","","","","j","5","4","false","false","RIGHT","j","1","LEFT","false","","",""
"","html-keyboard-response","240","839738","0.0-323.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","241","840473","0.0-324.0","2j3ecyxr","1707","1067","","","","","","","","","","","733","olt","Diagnostic trial","","","","","j","5","5","false","false","RIGHT","j","1","LEFT","false","","",""
"","html-keyboard-response","242","841230","0.0-327.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","243","841902","0.0-328.0","2j3ecyxr","1707","1067","","","","","","","","","","","672","olt","Diagnostic trial","","","","","j","5","6","false","false","RIGHT","j","1","LEFT","false","","",""
"","html-keyboard-response","244","842660","0.0-331.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","245","843771","0.0-332.0","2j3ecyxr","1707","1067","","","","","","","","","","","1111","r22","Diagnostic trial","","","","","j","5","7","false","false","RIGHT","j","1","RIGHT","true","","",""
"","html-keyboard-response","246","844529","0.0-335.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","247","845549","0.0-336.0","2j3ecyxr","1707","1067","","","","","","","","","","","1019","olt","Inducer trial","","","","","f","5","","true","","","f","1","LEFT","","","",""
"","html-keyboard-response","248","847058","0.0-339.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","+","Fixation - long","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","249","853146","0.0-340.0","2j3ecyxr","1707","1067","","","","","","","","","","","6088","If wjb press RIGHT | If ysh press LEFT","Inducer instructions","","","",""," ","6","","","","","","","","","","",""
"","html-keyboard-response","250","853903","0.0-341.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","251","854948","0.0-342.0","2j3ecyxr","1707","1067","","","","","","","","","","","1045","ysh","Diagnostic trial","","","","","j","6","0","false","false","RIGHT","j","1","LEFT","false","","",""
"","html-keyboard-response","252","855711","0.0-345.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","253","856767","0.0-346.0","2j3ecyxr","1707","1067","","","","","","","","","","","1056","ysh","Diagnostic trial","","","","","j","6","1","false","false","RIGHT","j","1","LEFT","false","","",""
"","html-keyboard-response","254","857527","0.0-349.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","255","858343","0.0-350.0","2j3ecyxr","1707","1067","","","","","","","","","","","815","ysh","Diagnostic trial","","","","","j","6","2","false","false","RIGHT","j","1","LEFT","false","","",""
"","html-keyboard-response","256","859096","0.0-353.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","257","859769","0.0-354.0","2j3ecyxr","1707","1067","","","","","","","","","","","672","ysh","Diagnostic trial","","","","","f","6","3","false","true","LEFT","f","1","LEFT","true","","",""
"","html-keyboard-response","258","860534","0.0-357.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","259","861774","0.0-358.0","2j3ecyxr","1707","1067","","","","","","","","","","","1239","ysh","Inducer trial","","","","","f","6","","true","","","f","1","LEFT","","","",""
"","html-keyboard-response","260","863277","0.0-361.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","+","Fixation - long","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","261","868536","0.0-362.0","2j3ecyxr","1707","1067","","","","","","","","","","","5258","If oac press LEFT | If pib press RIGHT","Inducer instructions","","","",""," ","7","","","","","","","","","","",""
"","html-keyboard-response","262","869292","0.0-363.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","263","870319","0.0-364.0","2j3ecyxr","1707","1067","","","","","","","","","","","1026","oac","Diagnostic trial","","","","","f","7","0","false","true","LEFT","f","1","LEFT","true","","",""
"","html-keyboard-response","264","871072","0.0-367.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","265","871930","0.0-368.0","2j3ecyxr","1707","1067","","","","","","","","","","","857","pib","Diagnostic trial","","","","","f","7","1","false","true","LEFT","f","1","RIGHT","false","","",""
"","html-keyboard-response","266","872684","0.0-371.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","267","873460","0.0-372.0","2j3ecyxr","1707","1067","","","","","","","","","","","776","pib","Diagnostic trial","","","","","j","7","2","false","false","RIGHT","j","1","RIGHT","true","","",""
"","html-keyboard-response","268","874213","0.0-375.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","269","876085","0.0-376.0","2j3ecyxr","1707","1067","","","","","","","","","","","1871","pib","Diagnostic trial","","","","","j","7","3","false","false","RIGHT","j","1","RIGHT","true","","",""
"","html-keyboard-response","270","876840","0.0-379.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","271","878385","0.0-380.0","2j3ecyxr","1707","1067","","","","","","","","","","","1544","oac","Diagnostic trial","","","","","f","7","4","false","true","LEFT","f","1","LEFT","true","","",""
"","html-keyboard-response","272","879147","0.0-383.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","273","880326","0.0-384.0","2j3ecyxr","1707","1067","","","","","","","","","","","1178","oac","Diagnostic trial","","","","","j","7","5","false","false","RIGHT","j","1","LEFT","false","","",""
"","html-keyboard-response","274","881081","0.0-387.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","275","882475","0.0-388.0","2j3ecyxr","1707","1067","","","","","","","","","","","1393","pib","Diagnostic trial","","","","","j","7","6","false","false","RIGHT","j","1","RIGHT","true","","",""
"","html-keyboard-response","276","883233","0.0-391.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","277","884147","0.0-392.0","2j3ecyxr","1707","1067","","","","","","","","","","","913","pib","Diagnostic trial","","","","","j","7","7","false","false","RIGHT","j","1","RIGHT","true","","",""
"","html-keyboard-response","278","884910","0.0-395.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","279","885569","0.0-396.0","2j3ecyxr","1707","1067","","","","","","","","","","","659","pib","Diagnostic trial","","","","","j","7","8","false","false","RIGHT","j","1","RIGHT","true","","",""
"","html-keyboard-response","280","886323","0.0-399.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","281","887170","0.0-400.0","2j3ecyxr","1707","1067","","","","","","","","","","","846","pib","Inducer trial","","","","","j","7","","true","","","j","1","RIGHT","","","",""
"","html-keyboard-response","282","888683","0.0-403.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","+","Fixation - long","","","","","null","","","","","","","","","","","",""
