"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct_response","correct_inducer_response_side","congruent","accuracy","open_feedback","interactive"
"","call-function","303","436362","0.0-474.0-2.0","2u5ya5yy","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","304","437878","0.0-475.0","2u5ya5yy","2560","1440","","","","","","","","","","","null","+","Fixation - long","","null","","","","","","","","","","","",""
"","html-keyboard-response","305","439044","0.0-476.0","2u5ya5yy","2560","1440","","","","","","","","","","","1165","If foc press LEFT | If ibb press RIGHT","Inducer instructions",""," ","9","","","","","","","","","","",""
"","html-keyboard-response","306","439802","0.0-477.0","2u5ya5yy","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","307","440388","0.0-478.0","2u5ya5yy","2560","1440","","","","","","","","","","","585","ibb","Diagnostic trial","","f","9","0","false","false","LEFT","f","1","RIGHT","false","","",""
"","html-keyboard-response","308","441151","0.0-481.0","2u5ya5yy","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","309","441540","0.0-482.0","2u5ya5yy","2560","1440","","","","","","","","","","","388","foc","Diagnostic trial","","f","9","1","false","false","LEFT","f","1","LEFT","true","","",""
"","html-keyboard-response","310","442303","0.0-485.0","2u5ya5yy","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","311","442652","0.0-486.0","2u5ya5yy","2560","1440","","","","","","","","","","","348","foc","Diagnostic trial","","f","9","2","false","false","LEFT","f","1","LEFT","true","","",""
"","html-keyboard-response","312","443403","0.0-489.0","2u5ya5yy","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","313","443748","0.0-490.0","2u5ya5yy","2560","1440","","","","","","","","","","","344","foc","Diagnostic trial","","f","9","3","false","false","LEFT","f","1","LEFT","true","","",""
"","html-keyboard-response","314","444505","0.0-493.0","2u5ya5yy","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","315","444812","0.0-494.0","2u5ya5yy","2560","1440","","","","","","","","","","","306","foc","Diagnostic trial","","f","9","4","false","false","LEFT","f","1","LEFT","true","","",""
"","html-keyboard-response","316","445573","0.0-497.0","2u5ya5yy","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","317","445964","0.0-498.0","2u5ya5yy","2560","1440","","","","","","","","","","","390","ibb","Diagnostic trial","","j","9","5","false","true","RIGHT","j","1","RIGHT","true","","",""
"","html-keyboard-response","318","446723","0.0-501.0","2u5ya5yy","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","319","447172","0.0-502.0","2u5ya5yy","2560","1440","","","","","","","","","","","448","ibb","Diagnostic trial","","j","9","6","false","false","LEFT","f","0","RIGHT","false","","",""
"","call-function","320","447172","0.0-504.0-0.0","2u5ya5yy","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","321","447486","0.0-504.0-1.0","2u5ya5yy","2560","1440","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","",""
"","call-function","322","447487","0.0-504.0-2.0","2u5ya5yy","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
