"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct_response","correct_inducer_response_side","congruent","accuracy","open_feedback","interactive"
"","html-keyboard-response","160","329603","0.0-240.0","o6g1w3c4","1280","720","","","","","","","","","","","489","rrd","Diagnostic trial","","f","2","11","false","true","LEFT","f","1","LEFT","true","","",""
"","html-keyboard-response","161","330369","0.0-243.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","162","330793","0.0-244.0","o6g1w3c4","1280","720","","","","","","","","","","","424","wab","Diagnostic trial","","j","2","12","false","false","RIGHT","j","1","RIGHT","true","","",""
"","html-keyboard-response","163","331559","0.0-247.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","164","332218","0.0-248.0","o6g1w3c4","1280","720","","","","","","","","","","","658","wab","Diagnostic trial","","f","2","13","false","true","LEFT","f","1","RIGHT","false","","",""
"","html-keyboard-response","165","332982","0.0-251.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","166","333519","0.0-252.0","o6g1w3c4","1280","720","","","","","","","","","","","537","wab","Diagnostic trial","","f","2","14","false","true","LEFT","f","1","RIGHT","false","","",""
"","html-keyboard-response","167","334280","0.0-255.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","168","334898","0.0-256.0","o6g1w3c4","1280","720","","","","","","","","","","","617","wab","Inducer trial","","j","2","","true","","","","1","","","","",""
"","html-keyboard-response","169","336413","0.0-259.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - long","","null","","","","","","","","","","","",""
"","html-keyboard-response","170","340754","0.0-260.0","o6g1w3c4","1280","720","","","","","","","","","","","4340","If quy press LEFT | If pxv press RIGHT","Inducer instructions",""," ","3","","","","","","","","","","",""
"","html-keyboard-response","171","341519","0.0-261.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","172","342190","0.0-262.0","o6g1w3c4","1280","720","","","","","","","","","","","670","quy","Diagnostic trial","","f","3","0","false","true","LEFT","f","1","LEFT","true","","",""
"","html-keyboard-response","173","342956","0.0-265.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","174","343406","0.0-266.0","o6g1w3c4","1280","720","","","","","","","","","","","449","quy","Diagnostic trial","","f","3","1","false","true","LEFT","f","1","LEFT","true","","",""
"","html-keyboard-response","175","344158","0.0-269.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","176","344635","0.0-270.0","o6g1w3c4","1280","720","","","","","","","","","","","476","pxv","Diagnostic trial","","j","3","2","false","false","RIGHT","j","1","RIGHT","true","","",""
"","html-keyboard-response","177","345400","0.0-273.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","178","345855","0.0-274.0","o6g1w3c4","1280","720","","","","","","","","","","","454","pxv","Diagnostic trial","","j","3","3","false","false","RIGHT","j","1","RIGHT","true","","",""
"","html-keyboard-response","179","346608","0.0-277.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","180","346992","0.0-278.0","o6g1w3c4","1280","720","","","","","","","","","","","383","quy","Diagnostic trial","","f","3","4","false","true","LEFT","f","1","LEFT","true","","",""
"","html-keyboard-response","181","347756","0.0-281.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","182","348130","0.0-282.0","o6g1w3c4","1280","720","","","","","","","","","","","373","pxv","Diagnostic trial","","j","3","5","false","false","RIGHT","j","1","RIGHT","true","","",""
"","html-keyboard-response","183","348894","0.0-285.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","184","349307","0.0-286.0","o6g1w3c4","1280","720","","","","","","","","","","","412","pxv","Diagnostic trial","","f","3","6","false","true","LEFT","f","1","RIGHT","false","","",""
"","html-keyboard-response","185","350073","0.0-289.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","186","350636","0.0-290.0","o6g1w3c4","1280","720","","","","","","","","","","","562","quy","Diagnostic trial","","j","3","7","false","true","LEFT","f","0","LEFT","true","","",""
"","call-function","187","350637","0.0-292.0-0.0","o6g1w3c4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","188","350945","0.0-292.0-1.0","o6g1w3c4","1280","720","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","",""
"","call-function","189","350945","0.0-292.0-2.0","o6g1w3c4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","190","351719","0.0-293.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","191","352673","0.0-294.0","o6g1w3c4","1280","720","","","","","","","","","","","953","pxv","Diagnostic trial","","j","3","8","false","false","RIGHT","j","1","RIGHT","true","","",""
