"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","page_index1","page_index2","page_index3","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct","correct_response","correct_inducer_response_side","congruent","inducer_correct_response","slider_start","accuracy","gender","age","motivation_feedback","distraction","distraction_feedback","open_feedback"
"","html-keyboard-response","101","430824","0.0-150.0","6vxj24fa","1707","1067","","","","","","","","","","","916","re8","Diagnostic trial","","","","","f","1","14","false","true","LEFT","f","","true","RIGHT","false","","","","","","","","",""
"","html-keyboard-response","102","431576","0.0-153.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","103","432568","0.0-154.0","6vxj24fa","1707","1067","","","","","","","","","","","991","re8","Diagnostic trial","","","","","j","1","15","false","false","RIGHT","j","","true","RIGHT","true","","","","","","","","",""
"","html-keyboard-response","104","433320","0.0-157.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","105","434968","0.0-158.0","6vxj24fa","1707","1067","","","","","","","","","","","1647","i50","Inducer trial","","","","","f","1","","true","","","f","","","LEFT","","true","","","","","","","",""
"","html-keyboard-response","106","436470","0.0-161.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - long","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","107","456472","0.0-162.0","6vxj24fa","1707","1067","","","","","","","","","","","null","If ukt press LEFT | If wjb press RIGHT","Inducer instructions","","","","","null","2","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","108","457225","0.0-163.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","109","458092","0.0-164.0","6vxj24fa","1707","1067","","","","","","","","","","","866","wjb","Diagnostic trial","","","","","j","2","0","false","true","LEFT","f","","false","RIGHT","false","","","","","","","","",""
"","call-function","110","458092","0.0-166.0-0.0","6vxj24fa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","111","458394","0.0-166.0-1.0","6vxj24fa","1707","1067","","","","","","","","","","","null","Wrong","Feedback","","","","","null","","","","","","","","","","","","","","","","","","",""
"","call-function","112","458394","0.0-166.0-2.0","6vxj24fa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","113","459145","0.0-167.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","114","460722","0.0-168.0","6vxj24fa","1707","1067","","","","","","","","","","","1577","wjb","Diagnostic trial","","","","","f","2","1","false","false","RIGHT","j","","false","RIGHT","true","","","","","","","","",""
"","call-function","115","460723","0.0-170.0-0.0","6vxj24fa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","116","461024","0.0-170.0-1.0","6vxj24fa","1707","1067","","","","","","","","","","","null","Wrong","Feedback","","","","","null","","","","","","","","","","","","","","","","","","",""
"","call-function","117","461024","0.0-170.0-2.0","6vxj24fa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","118","461775","0.0-171.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","119","463322","0.0-172.0","6vxj24fa","1707","1067","","","","","","","","","","","1546","ukt","Diagnostic trial","","","","","f","2","2","false","false","RIGHT","j","","false","LEFT","false","","","","","","","","",""
"","call-function","120","463323","0.0-174.0-0.0","6vxj24fa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","121","463624","0.0-174.0-1.0","6vxj24fa","1707","1067","","","","","","","","","","","null","Wrong","Feedback","","","","","null","","","","","","","","","","","","","","","","","","",""
"","call-function","122","463625","0.0-174.0-2.0","6vxj24fa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","123","464376","0.0-175.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","124","465311","0.0-176.0","6vxj24fa","1707","1067","","","","","","","","","","","935","wjb","Diagnostic trial","","","","","f","2","3","false","true","LEFT","f","","true","RIGHT","false","","","","","","","","",""
"","html-keyboard-response","125","466064","0.0-179.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","126","467053","0.0-180.0","6vxj24fa","1707","1067","","","","","","","","","","","988","wjb","Diagnostic trial","","","","","f","2","4","false","false","RIGHT","j","","false","RIGHT","true","","","","","","","","",""
"","call-function","127","467054","0.0-182.0-0.0","6vxj24fa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","128","467355","0.0-182.0-1.0","6vxj24fa","1707","1067","","","","","","","","","","","null","Wrong","Feedback","","","","","null","","","","","","","","","","","","","","","","","","",""
"","call-function","129","467355","0.0-182.0-2.0","6vxj24fa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","130","468107","0.0-183.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","131","469452","0.0-184.0","6vxj24fa","1707","1067","","","","","","","","","","","1344","wjb","Diagnostic trial","","","","","j","2","5","false","false","RIGHT","j","","true","RIGHT","true","","","","","","","","",""
"","html-keyboard-response","132","470213","0.0-187.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","133","471484","0.0-188.0","6vxj24fa","1707","1067","","","","","","","","","","","1270","ukt","Diagnostic trial","","","","","j","2","6","false","false","RIGHT","j","","true","LEFT","false","","","","","","","","",""
"","html-keyboard-response","134","472236","0.0-191.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","135","474012","0.0-192.0","6vxj24fa","1707","1067","","","","","","","","","","","1775","wjb","Diagnostic trial","","","","","f","2","7","false","true","LEFT","f","","true","RIGHT","false","","","","","","","","",""
"","html-keyboard-response","136","474764","0.0-195.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","137","475581","0.0-196.0","6vxj24fa","1707","1067","","","","","","","","","","","817","wjb","Inducer trial","","","","","f","2","","true","","","j","","","RIGHT","","false","","","","","","","",""
"","html-keyboard-response","138","477083","0.0-199.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - long","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","139","497084","0.0-200.0","6vxj24fa","1707","1067","","","","","","","","","","","null","If pwa press LEFT | If wtc press RIGHT","Inducer instructions","","","","","null","3","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","140","497835","0.0-201.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","141","499200","0.0-202.0","6vxj24fa","1707","1067","","","","","","","","","","","1364","pwa","Diagnostic trial","","","","","j","3","0","false","false","RIGHT","j","","true","LEFT","false","","","","","","","","",""
"","html-keyboard-response","142","499952","0.0-205.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","143","500855","0.0-206.0","6vxj24fa","1707","1067","","","","","","","","","","","903","pwa","Diagnostic trial","","","","","j","3","1","false","false","RIGHT","j","","true","LEFT","false","","","","","","","","",""
"","html-keyboard-response","144","501607","0.0-209.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","145","502623","0.0-210.0","6vxj24fa","1707","1067","","","","","","","","","","","1015","wtc","Diagnostic trial","","","","","f","3","2","false","true","LEFT","f","","true","RIGHT","false","","","","","","","","",""
"","html-keyboard-response","146","503377","0.0-213.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","147","504321","0.0-214.0","6vxj24fa","1707","1067","","","","","","","","","","","944","wtc","Diagnostic trial","","","","","f","3","3","false","false","RIGHT","j","","false","RIGHT","true","","","","","","","","",""
"","call-function","148","504322","0.0-216.0-0.0","6vxj24fa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","149","504638","0.0-216.0-1.0","6vxj24fa","1707","1067","","","","","","","","","","","null","Wrong","Feedback","","","","","null","","","","","","","","","","","","","","","","","","",""
"","call-function","150","504639","0.0-216.0-2.0","6vxj24fa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","151","505390","0.0-217.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","152","506471","0.0-218.0","6vxj24fa","1707","1067","","","","","","","","","","","1081","pwa","Diagnostic trial","","","","","f","3","4","false","true","LEFT","f","","true","LEFT","true","","","","","","","","",""
"","html-keyboard-response","153","507224","0.0-221.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","154","508134","0.0-222.0","6vxj24fa","1707","1067","","","","","","","","","","","910","wtc","Diagnostic trial","","","","","j","3","5","false","false","RIGHT","j","","true","RIGHT","true","","","","","","","","",""
"","html-keyboard-response","155","508886","0.0-225.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","156","510776","0.0-226.0","6vxj24fa","1707","1067","","","","","","","","","","","1890","wtc","Diagnostic trial","","","","","j","3","6","false","false","RIGHT","j","","true","RIGHT","true","","","","","","","","",""
"","html-keyboard-response","157","511528","0.0-229.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","158","513386","0.0-230.0","6vxj24fa","1707","1067","","","","","","","","","","","1857","pwa","Diagnostic trial","","","","","f","3","7","false","true","LEFT","f","","true","LEFT","true","","","","","","","","",""
"","html-keyboard-response","159","514138","0.0-233.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","160","515321","0.0-234.0","6vxj24fa","1707","1067","","","","","","","","","","","1182","pwa","Diagnostic trial","","","","","f","3","8","false","true","LEFT","f","","true","LEFT","true","","","","","","","","",""
"","html-keyboard-response","161","516073","0.0-237.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","162","516943","0.0-238.0","6vxj24fa","1707","1067","","","","","","","","","","","870","pwa","Diagnostic trial","","","","","f","3","9","false","false","RIGHT","j","","false","LEFT","false","","","","","","","","",""
"","call-function","163","516944","0.0-240.0-0.0","6vxj24fa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","164","517246","0.0-240.0-1.0","6vxj24fa","1707","1067","","","","","","","","","","","null","Wrong","Feedback","","","","","null","","","","","","","","","","","","","","","","","","",""
"","call-function","165","517246","0.0-240.0-2.0","6vxj24fa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","166","517997","0.0-241.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","167","518652","0.0-242.0","6vxj24fa","1707","1067","","","","","","","","","","","655","pwa","Inducer trial","","","","","f","3","","true","","","f","","","LEFT","","true","","","","","","","",""
"","html-keyboard-response","168","520154","0.0-245.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - long","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","169","540155","0.0-246.0","6vxj24fa","1707","1067","","","","","","","","","","","null","If v&t press RIGHT | If hmn press LEFT","Inducer instructions","","","","","null","4","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","170","540908","0.0-247.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","171","541681","0.0-248.0","6vxj24fa","1707","1067","","","","","","","","","","","773","v&t","Diagnostic trial","","","","","j","4","0","false","false","RIGHT","j","","true","RIGHT","true","","","","","","","","",""
"","html-keyboard-response","172","542433","0.0-251.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","173","544255","0.0-252.0","6vxj24fa","1707","1067","","","","","","","","","","","1822","hmn","Diagnostic trial","","","","","f","4","1","false","true","LEFT","f","","true","LEFT","true","","","","","","","","",""
"","html-keyboard-response","174","545007","0.0-255.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","175","545864","0.0-256.0","6vxj24fa","1707","1067","","","","","","","","","","","856","v&t","Diagnostic trial","","","","","f","4","2","false","true","LEFT","f","","true","RIGHT","false","","","","","","","","",""
"","html-keyboard-response","176","546616","0.0-259.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","177","547455","0.0-260.0","6vxj24fa","1707","1067","","","","","","","","","","","839","hmn","Diagnostic trial","","","","","f","4","3","false","true","LEFT","f","","true","LEFT","true","","","","","","","","",""
"","html-keyboard-response","178","548207","0.0-263.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","179","550208","0.0-264.0","6vxj24fa","1707","1067","","","","","","","","","","","null","v&t","Diagnostic trial","","","","","null","4","4","false","false","RIGHT","j","null","","RIGHT","true","","","","","","","","",""
"","call-function","180","550209","0.0-265.0-0.0","6vxj24fa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","181","550511","0.0-265.0-1.0","6vxj24fa","1707","1067","","","","","","","","","","","null","Slow","Feedback","","","","","null","","","","","","","","","","","","","","","","","","",""
"","call-function","182","550511","0.0-265.0-2.0","6vxj24fa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","183","551262","0.0-267.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","184","552007","0.0-268.0","6vxj24fa","1707","1067","","","","","","","","","","","744","v&t","Diagnostic trial","","","","","f","4","5","false","true","LEFT","f","","true","RIGHT","false","","","","","","","","",""
"","html-keyboard-response","185","552759","0.0-271.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","186","553459","0.0-272.0","6vxj24fa","1707","1067","","","","","","","","","","","700","hmn","Diagnostic trial","","","","","f","4","6","false","true","LEFT","f","","true","LEFT","true","","","","","","","","",""
"","html-keyboard-response","187","554211","0.0-275.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","188","554931","0.0-276.0","6vxj24fa","1707","1067","","","","","","","","","","","719","hmn","Inducer trial","","","","","f","4","","true","","","f","","","LEFT","","true","","","","","","","",""
"","html-keyboard-response","189","556433","0.0-279.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - long","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","190","576435","0.0-280.0","6vxj24fa","1707","1067","","","","","","","","","","","null","If bsl press LEFT | If wue press RIGHT","Inducer instructions","","","","","null","5","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","191","577187","0.0-281.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","192","578623","0.0-282.0","6vxj24fa","1707","1067","","","","","","","","","","","1436","wue","Diagnostic trial","","","","","j","5","0","false","false","RIGHT","j","","true","RIGHT","true","","","","","","","","",""
"","html-keyboard-response","193","579376","0.0-285.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","194","579905","0.0-286.0","6vxj24fa","1707","1067","","","","","","","","","","","529","wue","Diagnostic trial","","","","","j","5","1","false","false","RIGHT","j","","true","RIGHT","true","","","","","","","","",""
"","html-keyboard-response","195","580658","0.0-289.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","196","581473","0.0-290.0","6vxj24fa","1707","1067","","","","","","","","","","","814","bsl","Diagnostic trial","","","","","f","5","2","false","false","RIGHT","j","","false","LEFT","false","","","","","","","","",""
"","call-function","197","581473","0.0-292.0-0.0","6vxj24fa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","198","581775","0.0-292.0-1.0","6vxj24fa","1707","1067","","","","","","","","","","","null","Wrong","Feedback","","","","","null","","","","","","","","","","","","","","","","","","",""
"","call-function","199","581775","0.0-292.0-2.0","6vxj24fa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
