"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","exp_parameters","inducer_run","diagnostic_run","cue_num","post_cue","inducer_trial","italic","forced_equal_run","correct_inducer_response_side","correct_diag_response_side","correct_response_key","correct_response","congruent","force_equal","correct_indu_response_side","accuracy","interactive"
"","html-keyboard-response","393","384922","0.0-654.0","jpla3shf","2048","1152","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","394","386556","0.0-655.0","jpla3shf","","","","","","","","","","","","","1632","If ori press LEFT | If imm press RIGHT","Inducer instructions",""," ","","10","","","","","","","","","","","","","","",""
"","html-keyboard-response","395","387307","0.0-656.0","jpla3shf","2048","1152","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","396","387883","0.0-657.0","jpla3shf","","","","","","","","","","","","","575","imm","Diagnostic trial","","j","","10","0","4","false","false","false","both pre & post","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","397","388635","0.0-660.0","jpla3shf","2048","1152","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","398","389199","0.0-661.0","jpla3shf","","","","","","","","","","","","","563","imm","Diagnostic trial","","j","","10","1","4","false","false","false","both pre & post","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","399","389951","0.0-664.0","jpla3shf","2048","1152","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","400","390594","0.0-665.0","jpla3shf","","","","","","","","","","","","","642","imm","Diagnostic trial","","f","","10","2","4","false","false","true","both pre & post","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","401","391346","0.0-668.0","jpla3shf","2048","1152","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","402","392034","0.0-669.0","jpla3shf","","","","","","","","","","","","","688","imm","Diagnostic trial","","f","","10","3","4","false","false","true","both pre & post","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","403","392786","0.0-672.0","jpla3shf","2048","1152","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","404","394038","0.0-673.0","jpla3shf","","","","","","","","","","","","","null","Cue","Cue","","null","","10","3","","","false","","","","","","","","","","",""
"","html-keyboard-response","405","394790","0.0-674.0","jpla3shf","2048","1152","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","406","395555","0.0-675.0","jpla3shf","","","","","","","","","","","","","765","ori","Diagnostic trial","","f","","10","4","4","true","false","true","both pre & post","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","407","396307","0.0-678.0","jpla3shf","2048","1152","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","408","396838","0.0-679.0","jpla3shf","","","","","","","","","","","","","530","imm","Diagnostic trial","","f","","10","5","4","true","false","true","both pre & post","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","409","397590","0.0-682.0","jpla3shf","2048","1152","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","410","398188","0.0-683.0","jpla3shf","","","","","","","","","","","","","597","ori","Diagnostic trial","","f","","10","6","4","true","false","false","both pre & post","LEFT","RIGHT","j","0","false","","","",""
"","call-function","411","398189","0.0-685.0-0.0","jpla3shf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","412","398490","0.0-685.0-1.0","jpla3shf","2048","1152","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","","","","","","",""
"","call-function","413","398491","0.0-685.0-2.0","jpla3shf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","414","399242","0.0-686.0","jpla3shf","2048","1152","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","415","399921","0.0-687.0","jpla3shf","","","","","","","","","","","","","678","imm","Diagnostic trial","","f","","10","7","4","true","false","true","both pre & post","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","416","400672","0.0-690.0","jpla3shf","2048","1152","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","417","401405","0.0-691.0","jpla3shf","","","","","","","","","","","","","734","imm","Inducer trial","","j","","10","","","","true","","","","","j","1","","false","RIGHT","",""
"","html-keyboard-response","418","402157","0.0-694.0","jpla3shf","2048","1152","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","419","404263","0.0-695.0","jpla3shf","","","","","","","","","","","","","2105","If otr press LEFT | If mvv press RIGHT","Inducer instructions",""," ","","11","","","","","","","","","","","","","","",""
"","html-keyboard-response","420","405015","0.0-696.0","jpla3shf","2048","1152","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","421","405995","0.0-697.0","jpla3shf","","","","","","","","","","","","","980","otr","Diagnostic trial","","j","","11","0","7","false","false","false","both pre & post","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","422","406747","0.0-700.0","jpla3shf","2048","1152","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","423","407368","0.0-701.0","jpla3shf","","","","","","","","","","","","","620","mvv","Diagnostic trial","","j","","11","1","7","false","false","false","both pre & post","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","424","408120","0.0-704.0","jpla3shf","2048","1152","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","425","410121","0.0-705.0","jpla3shf","","","","","","","","","","","","","null","mvv","Diagnostic trial","","null","","11","2","7","false","false","true","both pre & post","RIGHT","LEFT","f","NaN","false","","","",""
