Age,Sex
44,Male
35,Female
45,Male
37,Male
47,Female
43,Female
30,Female
31,Female
47,Female
20,Male
25,Female
33,Female
24,Male
22,Male
32,Female
34,Male
22,Male
34,Male
25,Male
35,Male
40,Female
46,Female
27,Male
43,Female
24,Female
31,Male
32,Female
34,Female
38,Male
